,Case,Columns,Vectorizer,k,Direction,Exact,Precision,Recall,F1,Time
189,D6,2,st5,1,right,exact,0.15356671070013211,0.8493150684931506,0.2601034820304853,0.2544231414794922
190,D6,2,st5,1,left,exact,0.13380281690140844,0.954337899543379,0.23469960696238065,0.2544231414794922
191,D6,2,st5,1,both,exact,0.09058064516129032,0.9616438356164384,0.16556603773584905,0.2544231414794922
192,D6,2,st5,5,right,exact,0.03414795244385733,0.9442922374429223,0.06591235059760955,0.7142760753631592
193,D6,2,st5,5,left,exact,0.02729833546734955,0.9735159817351599,0.05310748536554988,0.7142760753631592
194,D6,2,st5,5,both,exact,0.01830365558964164,0.9753424657534246,0.03593297893816028,0.7142760753631592
195,D6,2,st5,10,right,exact,0.017420739762219285,0.9634703196347032,0.03422269077933663,1.3851447105407715
196,D6,2,st5,10,left,exact,0.013661971830985916,0.9744292237442922,0.02694614558999937,1.3851447105407715
197,D6,2,st5,10,both,exact,0.009247164865963687,0.9762557077625571,0.018320793843939056,1.3851447105407715
198,D6,2,sdistilroberta,1,right,exact,0.15802509907529722,0.873972602739726,0.26765487344427347,0.25391101837158203
199,D6,2,sdistilroberta,1,left,exact,0.13034571062740077,0.9296803652968036,0.2286355979786637,0.25391101837158203
200,D6,2,sdistilroberta,1,both,exact,0.08779787054250465,0.9488584474885845,0.16072395390208058,0.25391101837158203
201,D6,2,sdistilroberta,5,right,exact,0.034346103038309116,0.9497716894977168,0.06629482071713148,0.7048935890197754
202,D6,2,sdistilroberta,5,left,exact,0.027195902688860435,0.9698630136986301,0.05290820774691743,0.7048935890197754
203,D6,2,sdistilroberta,5,both,exact,0.017666094307224937,0.9771689497716894,0.03470476622934336,0.7048935890197754
204,D6,2,sdistilroberta,10,right,exact,0.017536327608982827,0.9698630136986301,0.03444976076555024,1.359363079071045
205,D6,2,sdistilroberta,10,left,exact,0.013610755441741357,0.9707762557077626,0.026845129111686343,1.359363079071045
206,D6,2,sdistilroberta,10,both,exact,0.008924181949987918,0.9780821917808219,0.01768698495532839,1.359363079071045
207,D6,2,sminilm,1,right,exact,0.16099735799207399,0.8904109589041096,0.27268913438679904,0.2636878490447998
208,D6,2,sminilm,1,left,exact,0.13405889884763125,0.9561643835616438,0.23514879281302642,0.2636878490447998
209,D6,2,sminilm,1,both,exact,0.09184116778173604,0.965296803652968,0.16772453189463665,0.2636878490447998
210,D6,2,sminilm,5,right,exact,0.034544253632760896,0.9552511415525115,0.06667729083665339,0.7155802249908447
211,D6,2,sminilm,5,left,exact,0.027503201024327784,0.9808219178082191,0.0535060406028148,0.7155802249908447
212,D6,2,sminilm,5,both,exact,0.018653281692342427,0.9808219178082191,0.0366103081538042,0.7155802249908447
213,D6,2,sminilm,10,right,exact,0.01751981505944518,0.9689497716894977,0.03441732219609115,1.3696308135986328
214,D6,2,sminilm,10,left,exact,0.01379001280409731,0.9835616438356164,0.02719868678578193,1.3696308135986328
215,D6,2,sminilm,10,both,exact,0.00946923157931688,0.9853881278538813,0.01875820345436054,1.3696308135986328
216,D7,2,smpnet,1,right,exact,0.30539273153575613,0.7942073170731707,0.441151566469094,0.2144303321838379
217,D7,2,smpnet,1,left,exact,0.279887714663144,0.8612804878048781,0.4224825523429711,0.2144303321838379
218,D7,2,smpnet,1,both,exact,0.19261126945845208,0.8927845528455285,0.3168620378719567,0.2144303321838379
219,D7,2,smpnet,5,right,exact,0.06776084407971864,0.8810975609756098,0.1258436751578489,0.5722537040710449
220,D7,2,smpnet,5,left,exact,0.06122853368560106,0.9420731707317073,0.11498387496899033,0.5722537040710449
221,D7,2,smpnet,5,both,exact,0.03853544641196768,0.9476626016260162,0.07405936662364737,0.5722537040710449
222,D7,2,smpnet,10,right,exact,0.03464243845252052,0.9009146341463414,0.06671934974034771,1.108682632446289
223,D7,2,smpnet,10,left,exact,0.031142668428005282,0.9583333333333334,0.060324974411463665,1.108682632446289
224,D7,2,smpnet,10,both,exact,0.019549695698446976,0.9613821138211383,0.038320151498273364,1.108682632446289
225,D7,2,st5,1,right,exact,0.289957014458773,0.7540650406504065,0.41885407846457806,0.20488548278808594
226,D7,2,st5,1,left,exact,0.2823645970937913,0.8689024390243902,0.42622133599202394,0.20488548278808594
227,D7,2,st5,1,both,exact,0.18910675381263617,0.8821138211382114,0.31144599928238254,0.20488548278808594
228,D7,2,st5,5,right,exact,0.06240719030871434,0.8114837398373984,0.11590100878147906,0.5548875331878662
229,D7,2,st5,5,left,exact,0.06000660501981506,0.9232723577235772,0.11268915901761349,0.5548875331878662
230,D7,2,st5,5,both,exact,0.03742259345361779,0.9242886178861789,0.0719327731092437,0.5548875331878662
231,D7,2,st5,10,right,exact,0.031848378272762795,0.8282520325203252,0.061338150071498454,1.0742132663726807
232,D7,2,st5,10,left,exact,0.03048216644649934,0.9380081300813008,0.05904554759467758,1.0742132663726807
233,D7,2,st5,10,both,exact,0.018843683083511777,0.9390243902439024,0.0369459605349967,1.0742132663726807
234,D7,2,sdistilroberta,1,right,exact,0.28077373974208675,0.7301829268292683,0.40558848433530903,0.20524215698242188
235,D7,2,sdistilroberta,1,left,exact,0.25908190224570676,0.7972560975609756,0.3910767696909272,0.20524215698242188
236,D7,2,sdistilroberta,1,both,exact,0.17692472657087713,0.8384146341463414,0.2921905436514964,0.20524215698242188
237,D7,2,sdistilroberta,5,right,exact,0.06303243454474404,0.8196138211382114,0.11706219609550765,0.5551378726959229
238,D7,2,sdistilroberta,5,left,exact,0.0582892998678996,0.896849593495935,0.1094641528156785,0.5551378726959229
239,D7,2,sdistilroberta,5,both,exact,0.0363529578548717,0.9120934959349594,0.06991917421365275,0.5551378726959229
240,D7,2,sdistilroberta,10,right,exact,0.03251270027354435,0.8455284552845529,0.06261759614660947,1.082472562789917
241,D7,2,sdistilroberta,10,left,exact,0.02977212681638045,0.9161585365853658,0.057670163766632546,1.082472562789917
242,D7,2,sdistilroberta,10,both,exact,0.018388225066213786,0.9242886178861789,0.036059074239270496,1.082472562789917
243,D7,2,sminilm,1,right,exact,0.31887456037514655,0.8292682926829268,0.4606265876375953,0.20011019706726074
244,D7,2,sminilm,1,left,exact,0.28500660501981506,0.8770325203252033,0.43020937188434694,0.20011019706726074
245,D7,2,sminilm,1,both,exact,0.19736988744009806,0.8998983739837398,0.3237364043506078,0.20011019706726074
246,D7,2,sminilm,5,right,exact,0.06811254396248534,0.885670731707317,0.12649684302198996,0.5509347915649414
247,D7,2,sminilm,5,left,exact,0.061162483487450466,0.9410569105691057,0.11485983626891588,0.5509347915649414
248,D7,2,sminilm,5,both,exact,0.039157770370057805,0.943089430894309,0.07519345298383502,0.5509347915649414
249,D7,2,sminilm,10,right,exact,0.03472059398202423,0.9029471544715447,0.06686987280800782,1.0746831893920898
250,D7,2,sminilm,10,left,exact,0.030977542932628797,0.9532520325203252,0.060005117707267144,1.0746831893920898
251,D7,2,sminilm,10,both,exact,0.019733736191105657,0.9557926829268293,0.03866909247895403,1.0746831893920898
252,D8,2,smpnet,1,right,exact,0.20086139389193422,0.6014067995310668,0.3011447020839448,0.39751338958740234
253,D8,2,smpnet,1,left,exact,0.03325178943553502,0.8604923798358733,0.0640293104200288,0.39751338958740234
254,D8,2,smpnet,1,both,exact,0.03283893697533818,0.8851113716295428,0.06332830062070123,0.39751338958740234
255,D8,2,smpnet,5,right,exact,0.05442443226311668,0.8147713950762017,0.10203332599280629,1.3041856288909912
256,D8,2,smpnet,5,left,exact,0.007483917731267555,0.9683470105509965,0.014853042985713386,1.3041856288909912
257,D8,2,smpnet,5,both,exact,0.0073593226943445686,0.9742086752637749,0.014608292095525222,1.3041856288909912
258,D8,2,smpnet,10,right,exact,0.029209083790133126,0.8745603751465416,0.056530140567574744,2.4930195808410645
259,D8,2,smpnet,10,left,exact,0.0037872610310772854,0.9800703399765534,0.00754536470014847,2.4930195808410645
260,D8,2,smpnet,10,both,exact,0.0037305312898311934,0.984759671746776,0.007432904761483396,2.4930195808410645
261,D8,2,st5,1,right,exact,0.22004698512137824,0.6588511137162955,0.32990901085999413,0.45089030265808105
262,D8,2,st5,1,left,exact,0.03452025006795325,0.8933177022274326,0.0664718454224277,0.45089030265808105
263,D8,2,st5,1,both,exact,0.03453538568874548,0.9284876905041032,0.06659379466913311,0.45089030265808105
264,D8,2,st5,5,right,exact,0.06021926389976508,0.9015240328253223,0.11289730602657272,1.3272895812988281
265,D8,2,st5,5,left,exact,0.007674186826130289,0.9929660023446659,0.015230662722638304,1.3272895812988281
266,D8,2,st5,5,both,exact,0.007558780635293281,0.9964830011723329,0.015003750937734433,1.3272895812988281
267,D8,2,st5,10,right,exact,0.031793265465935784,0.9519343493552169,0.061531466676770355,2.4868690967559814
268,D8,2,st5,10,left,exact,0.0038461538461538464,0.9953106682297772,0.007662696926346952,2.4868690967559814
269,D8,2,st5,10,both,exact,0.0037975643823268228,0.9976553341148886,0.007566327619318585,2.4868690967559814
270,D8,2,sdistilroberta,1,right,exact,0.21221613155833985,0.6354044548651817,0.3181684766656883,0.41950178146362305
271,D8,2,sdistilroberta,1,left,exact,0.03356890459363958,0.8686987104337632,0.06463994417062852,0.41950178146362305
272,D8,2,sdistilroberta,1,both,exact,0.03370199425237307,0.9073856975381008,0.06499013392669717,0.41950178146362305
273,D8,2,sdistilroberta,5,right,exact,0.05747846515270164,0.8604923798358733,0.10775893709168317,1.2735240459442139
274,D8,2,sdistilroberta,5,left,exact,0.007529219896711062,0.9742086752637749,0.014942952446885985,1.2735240459442139
275,D8,2,sdistilroberta,5,both,exact,0.007413706055855234,0.981242672919109,0.01471622476967438,1.2735240459442139
276,D8,2,sdistilroberta,10,right,exact,0.03022709475332811,0.9050410316529894,0.058500359943924524,2.4773788452148438
277,D8,2,sdistilroberta,10,left,exact,0.0038099121137990396,0.9859320046893317,0.0075904924794555784,2.4773788452148438
278,D8,2,sdistilroberta,10,both,exact,0.0037481459112346676,0.9894490035169988,0.007468002176692578,2.4773788452148438
279,D8,2,sminilm,1,right,exact,0.2090837901331245,0.6260257913247362,0.31347226298796593,0.39101171493530273
280,D8,2,sminilm,1,left,exact,0.03352360242819607,0.8675263774912075,0.06455271077768569,0.39101171493530273
281,D8,2,sminilm,1,both,exact,0.033459513553496065,0.9015240328253223,0.064524249035073,0.39101171493530273
282,D8,2,sminilm,5,right,exact,0.05677368833202819,0.8499413833528722,0.10643764222271158,1.3115379810333252
